TIPO LINEA;TIPO;LETRA;NUMERO FORMATEADO;FECHA;CAEA NRO;CAEA VTO;COD CLIENTE;CUIT;RAZON SOCIAL;RESUMEN;TIPO PEDIDO;CODIGO BARRA;DESCRIPCION;PCIO VTA PUB;BASE EXCENTA+GRAVADO;IVA;OTROS IMPUESTOS;IMPORTE TOTAL;UNIDADES;LINEAS;CLASIF PRODUCTO;LABORATORIO;CONDICION IVA;PORC IVA;PCIO UNITARIO
Detalle;FC;A;1114-08132805;;;;;;;;;7795371001208;ORAVIL CB CAP.BL X1;480000;271448.21;0;4071.72;275519.93;48;;Eticos;DISPROFARMA SA (TRB);Producto Exento;0;5655.17104
Detalle;FC;A;1114-08132805;;;;;;;;;7795371459726;ARTROSIL CBD ROL.ON X90G;24624;10740.24;2255.45;483.31;13479;2;;O. T. C.;DISPROFARMA SA (TRB);Producto Gravado;21;5370.12
Detalle;FC;A;1114-08132805;;;;;;;;;7795371001116;TACRAF GEL X60G;70800;41503.44;0;622.55;42125.99;6;;Eticos;DISPROFARMA SA (TRB);Producto Exento;0;6917.24
Detalle;FC;A;1114-08132805;;;;;;;;;7795371458293;VERBORIL 100MG COM.RE X8;65000;33620.7;0;504.31;34125.01;10;;Eticos;DISPROFARMA SA (TRB);Producto Exento;0;3362.07
Detalle;FC;A;1114-08132805;;;;;;;;;7795371001116;TACRAF GEL X60G;23600;13834.48;0;207.52;14042;2;;Eticos;DISPROFARMA SA (TRB);Producto Exento;0;6917.24
Detalle;FC;A;1114-08132805;;;;;;;;;7795371459375;PRINIL 4MG COM.RE X10;132120.24;82005.7;0;1230.09;83235.79;24;;Eticos;DISPROFARMA SA (TRB);Producto Exento;0;3416.90417
Detalle;FC;A;1114-08132805;;;;;;;;;7795371458309;VERBORIL 100MG COM.RE X16;21500;11120.68;0;166.81;11287.49;2;;Eticos;DISPROFARMA SA (TRB);Producto Exento;0;5560.34
Detalle;FC;A;1114-08132805;;;;;;;;;7795371459726;ARTROSIL CBD ROL.ON X90G;123120;53701.2;11277.25;2416.56;67395.01;10;;O. T. C.;DISPROFARMA SA (TRB);Producto Gravado;21;5370.12
Cabecera;FC;A;1114-08132806;01/04/2025;C.A.E.A. Nro.: 35135279779015;Fecha de Vencimiento: 15/04/2025;4793126;30-70882226-0;NUEVA VILLA SRL;13;OFERTA TRANSFER ;;;;216515.38;0;3247.74;219763.12;4;2;;;;;
Detalle;FC;A;1114-08132806;;;;;;;;;7795345125039;EDAGAN MET 5/850MG COM.RE X60;168788.86;108257.69;0;1623.87;109881.56;2;;Eticos;ROFINA SACIF (ROEMMERS);Producto Exento;0;54128.845
Detalle;FC;A;1114-08132806;;;;;;;;;7795345125060;EDAGAN MET 5/1000MG COM.RE X60;168788.86;108257.69;0;1623.87;109881.56;2;;Eticos;ROFINA SACIF (ROEMMERS);Producto Exento;0;54128.845
Cabecera;FC;A;1114-08133384;01/04/2025;C.A.E.A. Nro.: 35135279779015;Fecha de Vencimiento: 15/04/2025;4793126;30-70882226-0;NUEVA VILLA SRL;13;OFERTA TRANSFER ;;;;1071092.16;0;16066.39;1087158.55;150;2;;;;;
